"","razao_social","nome_fantasia","situacao_cadastral","descricao_tipo_logradouro","logradouro","numero","complemento","bairro","cep","uf","codigo_municipio","municipio","codigo_natureza_juridica","cnpj","tipo","endereco","localizacao","lat","lon"
"33","NOVA CASA BAHIA S/A","","08","AVENIDA","CONDE FRANCISCO MATARAZZO","409","411,413,417,419,423,      429 E 433                 R HELOISA PAMPLONA        433,439,443 E 449","FUNDACAO","09520110","SP","7077","SAO CAETANO DO SUL","2054","10757237007854","CASA BAHIA","AVENIDA CONDE FRANCISCO MATARAZZO","SP, SAO CAETANO DO SUL, FUNDACAO, AVENIDA CONDE FRANCISCO MATARAZZO, NOVA CASA BAHIA S/A",-23.6091335,-46.5712175
"34","NOVA CASA BAHIA S/A","","08","AVENIDA","CONDE FRANCISCO MATARAZZO","17","25,31 E 43                ESQ. R M COELHO, 147      E 177","CENTRO","09520110","SP","7077","SAO CAETANO DO SUL","2054","10757237008079","CASA BAHIA","AVENIDA CONDE FRANCISCO MATARAZZO","SP, SAO CAETANO DO SUL, CENTRO, AVENIDA CONDE FRANCISCO MATARAZZO, NOVA CASA BAHIA S/A",-23.6091335,-46.5712175
"35","NOVA CASA BAHIA S/A","","08","AVENIDA","CONDE FRANCISCO MATARAZZO","307","E 333                     ENTRADA R PERRELLA        433","FUNDACAO","09520110","SP","7077","SAO CAETANO DO SUL","2054","10757237008150","CASA BAHIA","AVENIDA CONDE FRANCISCO MATARAZZO","SP, SAO CAETANO DO SUL, FUNDACAO, AVENIDA CONDE FRANCISCO MATARAZZO, NOVA CASA BAHIA S/A",-23.6091335,-46.5712175
"36","NOVA CASA BAHIA S/A","","08","AVENIDA","VINTE E SEIS DE MARCO","207","217 E 227                 AV D. PEDRO II, S/N       E 212","CENTRO","06401050","SP","6213","BARUERI","2054","10757237009393","CASA BAHIA","AVENIDA VINTE E SEIS DE MARCO","SP, BARUERI, CENTRO, AVENIDA VINTE E SEIS DE MARCO, NOVA CASA BAHIA S/A",-23.5116667,-46.8772222
"37","NOVA CASA BAHIA S/A","","08","RUA","JOAO DOMINGUES DE OLIVEIRA","31","32,36 E 44                R KAETH RICHERS,S/N","CENTRO","09400250","SP","6967","RIBEIRAO PIRES","2054","10757237011290","CASA BAHIA","RUA JOAO DOMINGUES DE OLIVEIRA","SP, RIBEIRAO PIRES, CENTRO, RUA JOAO DOMINGUES DE OLIVEIRA, NOVA CASA BAHIA S/A",-23.7137372,-46.4136617
"38","NOVA CASA BAHIA S/A","","08","AVENIDA","PRESIDENTE CASTELO BRANCO","991A","1005 E 1013","JD ZAIRA","09321375","SP","6689","MAUA","2054","10757237011371","CASA BAHIA","AVENIDA PRESIDENTE CASTELO BRANCO","SP, MAUA, JD ZAIRA, AVENIDA PRESIDENTE CASTELO BRANCO, NOVA CASA BAHIA S/A",-23.655847,-46.4478531
"39","NOVA CASA BAHIA S/A","","08","AVENIDA","BRASIL","1690","","VILA ROMANOPOLIS","08500020","SP","6415","FERRAZ DE VASCONCELOS","2054","10757237011533","CASA BAHIA","AVENIDA BRASIL","SP, FERRAZ DE VASCONCELOS, VILA ROMANOPOLIS, AVENIDA BRASIL, NOVA CASA BAHIA S/A",-23.5421625,-46.3694429
"40","NOVA CASA BAHIA S/A","","08","RUA","CAMPOS SALES","95","RUA GENERAL GLICERIO      196 E 204","CENTRO","09015200","SP","7057","SANTO ANDRE","2054","10757237025836","CASA BAHIA","RUA CAMPOS SALES","SP, SANTO ANDRE, CENTRO, RUA CAMPOS SALES, NOVA CASA BAHIA S/A",-23.655262,-46.5276451
"41","NOVA CASA BAHIA S/A","","08","RUA","SENADOR VERGUEIRO","5058","E 5072                    AV SAO JOAO BATISTA       30","RUDGE RAMOS","09604000","SP","7075","SAO BERNARDO DO CAMPO","2054","10757237027294","CASA BAHIA","RUA SENADOR VERGUEIRO","SP, SAO BERNARDO DO CAMPO, RUDGE RAMOS, RUA SENADOR VERGUEIRO, NOVA CASA BAHIA S/A",-23.6091335,-46.5712175
"42","NOVA CASA BAHIA S/A","","08","RUA","JOSE BONIFACIO","799","SALAS 1 E 2               PAVIMENTO SUPERIOR        E N 807 SALAO 1           PAVIMENTO TERREO","SERRARIA","09980150","SP","6377","DIADEMA","2054","10757237028428","CASA BAHIA","RUA JOSE BONIFACIO","SP, DIADEMA, SERRARIA, RUA JOSE BONIFACIO, NOVA CASA BAHIA S/A",-23.6998964,-46.6119045
"43","NOVA CASA BAHIA S/A","","08","PRAÇA","PRESIDENTE CASTELO BRANCO","235","251 E 261","CENTRO","09911120","SP","6377","DIADEMA","2054","10757237028509","CASA BAHIA","PRAÇA PRESIDENTE CASTELO BRANCO","SP, DIADEMA, CENTRO, PRAÇA PRESIDENTE CASTELO BRANCO, NOVA CASA BAHIA S/A",-23.6869463,-46.624356
"44","NOVA CASA BAHIA S/A","","08","AVENIDA","9 DE JULHO","236","250 RUA DIOGO             CEBRIAN 57","VILA ATUI","08550100","SP","6897","POA","2054","10757237031488","CASA BAHIA","AVENIDA 9 DE JULHO","SP, POA, VILA ATUI, AVENIDA 9 DE JULHO, NOVA CASA BAHIA S/A",-23.523353,-46.343762
"45","NOVA CASA BAHIA S/A","","08","AVENIDA","OTTO BAUMGART","500","SUC 223-A, SHOPPING       LAR CENTER","VILA GUILHERME","02049900","SP","7107","SAO PAULO","2054","10757237032379","CASA BAHIA","AVENIDA OTTO BAUMGART","SP, SAO PAULO, VILA GUILHERME, AVENIDA OTTO BAUMGART, NOVA CASA BAHIA S/A",-23.5139362,-46.6153603
"46","NOVA CASA BAHIA S/A","","08","RUA","NOSSA SENHORA DA LAPA","85","93,107,111 E 115","LAPA","05072000","SP","7107","SAO PAULO","2054","10757237032450","CASA BAHIA","RUA NOSSA SENHORA DA LAPA","SP, SAO PAULO, LAPA, RUA NOSSA SENHORA DA LAPA, NOVA CASA BAHIA S/A",-23.5209502,-46.7022264
"47","NOVA CASA BAHIA S/A","","08","PRACA","RAMOS DE AZEVEDO","131","RUA CORONEL XAVIER        DE TOLEDO 14 E            CONSELHEIRO               CRISPINIANO 150 E         154","REPUBLICA","01037010","SP","7107","SAO PAULO","2054","10757237032530","CASA BAHIA","PRACA RAMOS DE AZEVEDO","SP, SAO PAULO, REPUBLICA, PRACA RAMOS DE AZEVEDO, NOVA CASA BAHIA S/A",-23.5458473,-46.6393239
"48","NOVA CASA BAHIA S/A","","08","TRAVESSA","CASALBUONO","120","SALOES DE USO             COMERCIAL SUC N 58/       59/60/105/107             LOCALIZADOS NO            SHOPPING CENTER           NORTE","VILA GUILHERME","02047050","SP","7107","SAO PAULO","2054","10757237032964","CASA BAHIA","TRAVESSA CASALBUONO","SP, SAO PAULO, VILA GUILHERME, TRAVESSA CASALBUONO, NOVA CASA BAHIA S/A",-23.5175579,-46.5877787
"49","NOVA CASA BAHIA S/A","","08","RUA","DR. CINCINATO POMPONET","161","E 187","LAPA","05072020","SP","7107","SAO PAULO","2054","10757237033006","CASA BAHIA","RUA DR. CINCINATO POMPONET","SP, SAO PAULO, LAPA, RUA DR. CINCINATO POMPONET, NOVA CASA BAHIA S/A",-23.519216,-46.702956
"50","NOVA CASA BAHIA S/A","","08","RUA","DOZE DE OUTUBRO","215","219,225 E 227","LAPA","05073001","SP","7107","SAO PAULO","2054","10757237033189","CASA BAHIA","RUA DOZE DE OUTUBRO","SP, SAO PAULO, LAPA, RUA DOZE DE OUTUBRO, NOVA CASA BAHIA S/A",-23.52017,-46.703992
"51","NOVA CASA BAHIA S/A","","08","AVENIDA","ITABERABA","4694","4698                      E PARTE DO 1 ANDAR","ITABERABA","02739000","SP","7107","SAO PAULO","2054","10757237033260","CASA BAHIA","AVENIDA ITABERABA","SP, SAO PAULO, ITABERABA, AVENIDA ITABERABA, NOVA CASA BAHIA S/A",-23.4745561,-46.6687879
"52","NOVA CASA BAHIA S/A","","08","AVENIDA","NOVA CANTAREIRA","1818","1822/1826, APTO 01,       LOCALIZADO NO 1 PAV       E 1830,                   R DR NATALINO             RIGHETO, 611","TUCURUVI","02330002","SP","7107","SAO PAULO","2054","10757237033340","CASA BAHIA","AVENIDA NOVA CANTAREIRA","SP, SAO PAULO, TUCURUVI, AVENIDA NOVA CANTAREIRA, NOVA CASA BAHIA S/A",-23.5175579,-46.5877787
